time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-03 00:00:00+00:00,1.0,1.0,49,13
2024-11-04 00:00:00+00:00,10.0,6.0,128,51
2024-11-05 00:00:00+00:00,2.0,2.0,140,54
2024-11-06 00:00:00+00:00,6.0,3.0,133,50
2024-11-07 00:00:00+00:00,3.0,1.0,137,66
2024-11-08 00:00:00+00:00,3.0,2.0,104,51
2024-11-09 00:00:00+00:00,3.0,3.0,104,27
2024-11-10 00:00:00+00:00,1.0,1.0,27,14
2024-11-11 00:00:00+00:00,7.0,4.0,222,40
2024-11-12 00:00:00+00:00,15.0,7.0,192,53
2024-11-13 00:00:00+00:00,3.0,3.0,83,46
2024-11-14 00:00:00+00:00,1.0,1.0,74,43
2024-11-15 00:00:00+00:00,,,110,45
2024-11-16 00:00:00+00:00,,,16,9
