time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-18 00:00:00+00:00,9.0,5.0,109,42
2025-04-19 00:00:00+00:00,7.0,5.0,128,22
2025-04-20 00:00:00+00:00,4.0,4.0,30,12
2025-04-21 00:00:00+00:00,7.0,4.0,116,43
2025-04-22 00:00:00+00:00,3.0,3.0,107,44
2025-04-23 00:00:00+00:00,4.0,4.0,148,60
2025-04-24 00:00:00+00:00,51.0,28.0,132,30
2025-04-25 00:00:00+00:00,10.0,7.0,141,50
2025-04-26 00:00:00+00:00,6.0,6.0,55,15
2025-04-27 00:00:00+00:00,6.0,4.0,48,28
2025-04-28 00:00:00+00:00,11.0,6.0,122,42
2025-04-29 00:00:00+00:00,6.0,6.0,100,38
2025-04-30 00:00:00+00:00,4.0,4.0,73,25
2025-05-01 00:00:00+00:00,,,35,12
