time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-25 00:00:00+00:00,2.0,1.0,288,66
2024-06-26 00:00:00+00:00,4.0,3.0,325,68
2024-06-27 00:00:00+00:00,7.0,4.0,415,75
2024-06-28 00:00:00+00:00,1.0,1.0,254,64
2024-06-29 00:00:00+00:00,,,88,23
2024-06-30 00:00:00+00:00,,,34,15
2024-07-01 00:00:00+00:00,1.0,1.0,113,38
2024-07-02 00:00:00+00:00,,,211,53
2024-07-03 00:00:00+00:00,11.0,6.0,178,45
2024-07-04 00:00:00+00:00,3.0,3.0,298,43
2024-07-05 00:00:00+00:00,9.0,4.0,217,57
2024-07-06 00:00:00+00:00,,,52,27
2024-07-07 00:00:00+00:00,9.0,7.0,85,21
2024-07-08 00:00:00+00:00,6.0,3.0,378,79
