time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-06 00:00:00+00:00,6,4,43,8
2025-04-07 00:00:00+00:00,3,3,87,36
2025-04-08 00:00:00+00:00,4,4,68,30
2025-04-09 00:00:00+00:00,9,5,124,46
2025-04-10 00:00:00+00:00,24,11,231,53
2025-04-11 00:00:00+00:00,7,4,158,36
2025-04-12 00:00:00+00:00,8,5,20,13
2025-04-13 00:00:00+00:00,2,2,130,17
2025-04-14 00:00:00+00:00,6,4,119,37
2025-04-15 00:00:00+00:00,3,3,66,38
2025-04-16 00:00:00+00:00,3,3,98,44
2025-04-17 00:00:00+00:00,6,4,122,35
2025-04-18 00:00:00+00:00,9,5,109,42
2025-04-19 00:00:00+00:00,1,1,128,22
