time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-10 00:00:00+00:00,41,23,458,62
2024-04-11 00:00:00+00:00,24,14,630,59
2024-04-12 00:00:00+00:00,48,20,262,56
2024-04-13 00:00:00+00:00,13,9,99,26
2024-04-14 00:00:00+00:00,1,1,217,21
2024-04-15 00:00:00+00:00,51,20,439,71
2024-04-16 00:00:00+00:00,22,10,290,55
2024-04-17 00:00:00+00:00,8,4,186,53
2024-04-18 00:00:00+00:00,2,2,290,62
2024-04-19 00:00:00+00:00,20,6,388,46
2024-04-20 00:00:00+00:00,7,3,154,28
2024-04-21 00:00:00+00:00,3,3,120,33
2024-04-22 00:00:00+00:00,7,6,257,61
2024-04-23 00:00:00+00:00,41,17,407,74
