time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-17 00:00:00+00:00,20,12,92,34
2025-07-18 00:00:00+00:00,12,5,103,39
2025-07-19 00:00:00+00:00,14,6,26,17
2025-07-20 00:00:00+00:00,15,9,34,11
2025-07-21 00:00:00+00:00,23,15,116,38
2025-07-22 00:00:00+00:00,17,10,148,44
2025-07-23 00:00:00+00:00,15,7,134,40
2025-07-24 00:00:00+00:00,18,12,128,39
2025-07-25 00:00:00+00:00,11,5,66,36
2025-07-26 00:00:00+00:00,10,4,19,8
2025-07-27 00:00:00+00:00,11,5,19,12
2025-07-28 00:00:00+00:00,12,6,47,20
2025-07-29 00:00:00+00:00,12,6,88,23
2025-07-30 00:00:00+00:00,3,3,95,41
