time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-21 00:00:00+00:00,9,9,121,28
2025-11-22 00:00:00+00:00,13,11,21,18
2025-11-23 00:00:00+00:00,4,4,19,13
2025-11-24 00:00:00+00:00,18,18,58,35
2025-11-25 00:00:00+00:00,11,11,34,26
2025-11-26 00:00:00+00:00,7,6,104,21
2025-11-27 00:00:00+00:00,7,7,63,30
2025-11-28 00:00:00+00:00,8,8,46,24
2025-11-29 00:00:00+00:00,7,7,15,12
2025-11-30 00:00:00+00:00,7,7,30,14
2025-12-01 00:00:00+00:00,68,26,60,32
2025-12-02 00:00:00+00:00,26,16,82,37
2025-12-03 00:00:00+00:00,167,47,51,32
2025-12-04 00:00:00+00:00,41,14,42,25
